packets,bytes,failed_logins,label
49,143904,3,0
63,36101,1,0
86,187470,0,0
2377,833950,6,1
2195,671314,8,1
61,129406,3,0
132,6219,3,0
48,62495,0,0
1750,953871,2,1
1108,532211,12,1
27,85302,1,0
1003,841246,6,1
132,44037,2,0
113,8285,2,0
2604,402499,11,1
636,566814,9,1
2756,965363,5,1
91,15566,3,0
327,990069,6,1
2234,368543,15,1
40,9877,0,0
2311,914227,2,1
2795,274409,11,1
2776,255540,10,1
1277,514669,15,1
107,145872,0,0
331,652362,2,1
1901,810338,12,1
97,194184,3,0
2588,672490,3,1
1979,167981,5,1
72,131619,1,0
117,97860,2,0
1523,811700,2,1
85,67883,0,0
114,6341,1,0
2516,754462,8,1
68,114196,1,0
1766,878694,3,1
1456,206995,7,1
17,64230,1,0
1840,695324,8,1
50,24006,2,0
2668,361374,5,1
1110,159121,2,1
2050,886750,2,1
2293,811644,2,1
2271,458269,14,1
1201,977325,14,1
63,82662,2,0
64,44232,1,0
2820,758541,13,1
2371,632011,11,1
1930,72549,6,1
75,167953,0,0
2415,94294,9,1
1459,599322,12,1
144,64299,1,0
106,91037,3,0
148,102365,3,0
44,151538,2,0
39,185980,0,0
51,74077,3,0
1200,983317,4,1
105,15047,3,0
23,63594,0,0
729,443644,13,1
577,871660,8,1
1255,902246,5,1
2418,782256,9,1
23,146793,0,0
2843,47070,3,1
131,192885,1,0
39,84287,2,0
38,103035,1,0
105,49997,1,0
1568,826026,7,1
1825,603041,10,1
138,162094,2,0
2144,763584,3,1
72,116900,2,0
80,146183,1,0
12,26348,1,0
22,155141,1,0
38,193824,3,0
86,556280,11,1
127,155684,2,0
1711,665585,10,1
1386,996323,10,1
895,211096,10,1
113,35066,3,0
2673,904552,2,1
10,193612,3,0
141,113070,2,0
1838,875633,6,1
2456,393069,2,1
93,194812,0,0
10,83969,2,0
58,189048,2,0
145,192071,3,0
149,110195,1,0
133,189366,0,0
2204,571702,12,1
2827,964777,10,1
124,26067,3,0
84,58021,1,0
1517,335565,8,1
239,838244,3,1
296,7854,4,1
2658,69875,8,1
669,49503,10,1
111,76948,0,0
1017,805832,10,1
112,106519,3,0
125,85884,0,0
702,100425,5,1
1875,814817,9,1
88,77709,3,0
2434,620906,15,1
899,490499,10,1
65,122217,3,0
39,61127,0,0
61,192851,3,0
65,89454,0,0
1249,528357,2,1
61,67349,3,0
583,494299,14,1
1086,337664,6,1
120,108346,3,0
833,440885,10,1
62,191179,3,0
83,180976,1,0
922,591203,14,1
791,760457,12,1
2534,202602,8,1
1170,366930,7,1
2193,253007,11,1
135,179138,1,0
428,448514,2,1
50,137257,1,0
12,6296,2,0
98,42092,0,0
87,187553,3,0
2099,433257,5,1
118,95848,0,0
117,141318,3,0
133,190746,2,0
2180,784077,2,1
68,55610,2,0
127,107373,1,0
1718,636570,2,1
39,102941,2,0
30,134759,2,0
135,68684,0,0
56,165780,3,0
2625,250287,12,1
133,187870,1,0
2285,439218,5,1
2983,218170,10,1
2810,453854,2,1
1881,492041,9,1
1592,849943,3,1
655,389271,7,1
2096,713047,5,1
39,84283,3,0
75,98768,0,0
71,165545,1,0
87,23403,10,1
1256,919147,14,1
112,39877,3,0
86,69363,1,0
815,798293,9,1
75,4766,0,0
2215,159590,7,1
1137,744386,3,1
1326,590042,5,1
2348,633410,5,1
32,53533,2,0
94,131005,3,0
2872,887297,12,1
186,190908,3,0
244,132218,2,0
230,286194,4,0
142,112820,3,0
184,136235,4,0
189,272571,4,0
113,176160,4,0
186,214805,3,0
122,230361,2,0
229,122799,4,0
104,189255,5,1
115,107635,7,1
232,146394,8,1
122,65612,6,1
142,102760,6,1
235,96109,6,1
173,171026,7,1
125,112286,4,1
196,183143,4,1
158,108935,5,1
